Scholarship Name,Provider,Eligibility,Benefits,Deadline,How to Apply,Documents Required,Application Mode,URL
Stanford Next Asia Policy Postdoctoral Fellowship 2026,N/A,Ph.D. holders,Source: shorenstein.aparc.stanford.edu,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/stanford-next-asia-policy-visiting-fellowship-2026
Government of Brunei Darussalam Scholarship 2026-27,N/A,Students having applied for a UG and PG degree programmes,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/government-of-brunei-darussalam-scholarship
FIDH ICC Internship 2026,N/A,"Law, Political Science, International Relations, or Related Field Students",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/fidh-icc-internship-2026
ANRF J. C. Bose Grant (JBG) 2026,N/A,Senior scientists and engineers in India,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/anrf-j-c-bose-grant-jbg-2026
Azim Premji Scholarship 2025,N/A,Female UG applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/azim-premji-scholarship-2025
ICJ Judicial Fellowship Programme 2026,N/A,Recent law graduates nominated by universities,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/icj-judicial-fellowship-programme-2026
"NSP Centrally Sponsored Pre-Matric Scholarship for ST Students (Class 9 & 10), Andaman and Nicobar 2025-26",N/A,ST students studying in Class 9 and 10,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/centrally-sponsored-pre-matric-scholarship-for-st-students-class-9-10-andaman-and-nicobar-2025-26
CSIR-IICB Summer Internship Program 2026,N/A,PG students in the chemical field and life sciences,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/csir-iicb-summer-internship-program-2026
Wells Mountain Foundation Scholarship 2026,N/A,Students pursuing undergraduate degrees,"*The Wells Mountain Initiative (WMI) is a charitable foundation in Bristol, Vermont, USA, recognized under Section 501(c)(3). WMI promotes social change through education and community building by offering scholarships and skills training to talented young individuals in the developing world, creating a network of grassroots leaders for community transformation. Since 2005, the foundation has supported more than 700 students worldwide.",Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/wells-mountain-foundation-scholarship-2026
BARC DAE Doctoral Fellowship Scheme (DDFS) 2026,N/A,Engineering postgraduates,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/barc-dae-doctoral-fellowship-scheme-ddfs-2026
WFN Junior Travelling Fellowships 2026,N/A,Young neurologists,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/wfn-junior-travelling-fellowships-2026
"NSP Post-Matric Scholarship for OBC Students, Tripura 2025-26",N/A,OBC category students studying at post-matric level,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/post-matric-scholarship-for-obc-students-tripura-2025-26
Narotam Sekhsaria Foundation Post Graduate Scholarship 2026-27,N/A,Deadline:18-Mar-2026,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/narotam-sekhsaria-foundation-post-graduate-scholarship
Shastra Deep-tech Excellence (SDEX) Fellowship 2026,N/A,"Researchers, Postgraduate students, Engineers, and Tech innovators",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/shastra-deep-tech-excellence-sdex-fellowship-2026
DRDO DIAT Post-doctoral Fellowship 2026,N/A,Students holding a PhD degree,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/drdo-diat-post-doctoral-fellowship-2026
Dr. A. P. J. Abdul Kalam Young Research Fellowship 2025-26,N/A,"Students pursuing/completed undergraduate, postgraduate (M.Sc., MA, M.E.), or PhD in any field related to environmental research",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/dr-apj-abdul-kalam-young-research-fellowship
Reuters-Oxford Journalism Fellowship Programme 2026-27,N/A,Mid-career journalists,N/A,Notification of scholarship result declaration,,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/reuters-oxford-journalism-fellowship-programme-2026
CAS-ANSO Scholarship (Degree Program) 2026,N/A,Master’s and Ph.D. applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/cas-anso-scholarship-degree-program-2026
JNCASR Summer Research Fellowship Programme 2026,N/A,"UG and PG students in science, engineering, and allied disciplines",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/jncasr-summer-research-fellowship-programme-2026
BOC Scholarship Odisha 2025-26,N/A,"I.T.I, I.T.C, Polytechnic, and Diploma students",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/boc-scholarship-odisha-2025
Oskar Morgenstern Fellowship Program 2026,N/A,"Graduate students, scholars, and practitioners",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/oskar-morgenstern-fellowship-program-2026
"State Agriculture Scholarship for B.Sc. & M.Sc. Agriculture, Nagaland 2025",N/A,Students pursuing B.Sc./M.Sc. in agriculture,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/state-agriculture-scholarship-for-bsc-and-msc-agriculture-nagaland-2025
Kyoto University Amgen Scholars Program 2026,N/A,Students pursuing undergraduate courses in Asia,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/kyoto-university-amgen-scholars-program-2026
"Post-Matric Scholarship to OBC Students, Maharashtra 2025-26",N/A,OBC students studying in Class 11 and above,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-obc-students-maharashtra-2025-26
The British Academy International Fellowship 2026,N/A,PhD Applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/the-british-academy-international-fellowship-2026
"NSP Centrally Sponsored Post-Matric Scholarship for ST Students, Andaman and Nicobar 2025-26",N/A,ST students of Class 11 and above,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/centrally-sponsored-post-matric-scholarship-for-st-students-andaman-and-nicobar-2025-26
Turkiye Scholarships 2026,N/A,"Students pursuing associate, UG, PG and Ph.D.",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/turkiye-scholarships-2026
KWI International Fellowship Program 2026,N/A,International researchers,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/kwi-international-fellowship-program-2026
"Vocational Training Fee Reimbursement for OBC, SEBC, VJNT & SBC Students, Maharashtra 2025-26",N/A,"Students belonging to OBC, SEBC, VJNT, and SBC categories who are pursuing vocational training courses",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/vocational-training-fee-reimbursement-for-obc-sebc-vjnt-sbc-students-maharashtra-2025
World Bank Group’s Premier Internship Program 2026,N/A,UG and PG students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/world-bank-groups-premier-internship-program-2026
University of Oregon ICSP Scholarship 2026,N/A,International students at the University,N/A,Notification of scholarship result declaration,,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/university-of-oregon-icsp-scholarship-2026
"Grant of Additional Scholarship to ST Students for Higher Studies, Andaman and Nicobar 2025-26",N/A,ST students studying in graduation and above level,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/grant-of-additional-scholarship-to-st-students-for-higher-studies-andaman-and-nicobar-2025-26
Teach for India Fellowship 2026,N/A,Graduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/teach-for-india-fellowship
Bath Global Excellence Scholarship 2026,N/A,Students joining a full-time taught Master’s course,N/A,Notification of scholarship result declaration,,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/bath-global-excellence-scholarship
